"","STAT1.gsva","GGI.gsva","CytScore.log2","TIDE.Dysfunction","TIDE.Exclusion","TIDE.MDSC","TIDE.CAF","TIDE.TAM.M2","TIDE.IFNG","TIDE.CD274","TIDE.CD8","Danaher.B.cells","Danaher.CD45","Danaher.CD8.T.cells","Danaher.Cytotoxic.cells","Danaher.DC","Danaher.Exhausted.CD8","Danaher.Macrophages","Danaher.Mast.cells","Danaher.Neutrophils","Danaher.NK.CD56dim.cells","Danaher.NK.cells","Danaher.T.cells","Danaher.Th1.cells","Danaher.Treg","B2M","TAP1","TAP2","HLA.A","HLA.B","HLA.C","HLA.DPA1","HLA.DPB1","HLA.E","HLA.F","PD.1","CTLA.4","LAG3","TIGIT","TIM3","PD.L1","PD.L2","CD27","ICOS","IDO1","Act.CD4","Act.CD8","Tem.CD4","Tem.CD8","MDSC","Treg","T.cells","CD8.T.cells","Cytotoxic.lymphocytes","NK.cells","B.lineage","Monocytic.lineage","Myeloid.dendritic.cells","Neutrophils","Endothelial.cells","Fibroblasts","ECM.associated_HM.et.a.gsva","Immune.response_HM.et.a.gsva","Proliferation_HM.et.a.gsva"
"T001",-0.181,0.319,2.066,0.27,-0.7,0.04,-0.14,0,-2.07,-1.29,-1.75,-2.05,2.29,1.42,0.66,-0.603,0.608,-0.715,2.74,-0.151,-7.599,-1.381,0.667,-0.101,1.561,4.9122,2.87492,1.07754,4.82698,4.94053,4.91248,2.92701,3.02751,3.84341,2.542,0.1255,0.10701,-1.06235,0.11475,-1.08685,-0.14528,-0.12259,0.70619,-0.1006,-0.36002,0.85189,1.26006,0.73617,1.00433,-1.86016,-0.76241,-0.1352,0.604,0.512,-2.49125,-0.690125,3.702857,-1.7188,1.5944,2.518091,7.669,0.420017978821924,0.17104214821472,0.164640002966695
"T002",0.613,0.355,5.352,0.33,-0.36,0.01,-0.07,0,0.1,-0.62,0.85,2.704,5.017,4.422,4.013,2.561,2.439,2.536,3.038,-1.198,-3.372,1.858,3.736,2.124,2.655,5.23849,2.78337,1.26691,4.62992,4.91237,4.41089,3.82614,3.8955,4.38732,2.53665,-1.1878,-0.85125,-1.04186,-1.00239,-1.51155,-0.45691,-1.15474,2.30395,0.89138,-1.41001,1.45063,1.93873,1.07114,1.56102,-1.99281,-1.05759,2.542567,3.8147,3.03552,0.20435,3.62805,4.552586,1.52566,0.372707,4.094539,8.933412,0.121390332483955,0.51670791280439,0.266343697082094
"T003",0.616,0.309,6.467,0.91,-2.25,-0.07,-0.22,-0.05,1.11,0.59,1.77,2.123,5.492,5.366,5.183,1.367,3.906,2.776,1.236,0.133,-2.714,2.677,4.089,3.553,3.767,5.02682,3.72125,1.88228,5.33453,5.4716,5.07914,3.47119,3.66269,4.72446,3.17169,-1.90326,-1.21,-2.03039,-1.28025,-1.78802,-0.9584,-0.91578,2.5121,0.80119,-1.60873,1.25802,1.89299,0.91451,1.52385,-2.20074,-1.23655,2.59536,3.9231,3.86482,0.41745,3.000925,5.000771,0.66784,0.913913,3.179967,6.886913,-0.23446896938405,0.540282011396201,-0.160562115107456
"T004",0.612,0.469,4.589,0.33,-0.71,0.02,-0.04,-0.09,1.3,0.77,0.39,1.893,5.031,3.928,3.687,3.138,3.103,2.71,2.699,0.277,-3.491,1.256,3.543,2.43,4.79,5.16276,3.47011,1.94656,4.8207,5.06798,4.63258,3.48823,3.6157,4.08192,2.92513,-1.14621,-1.46498,-1.74792,-1.11701,-1.73799,-1.08518,-1.19764,1.88486,1.28942,-2.77915,1.60713,1.80792,1.04281,1.57157,-2.18712,-1.5465,2.609693,2.6778,2.72,-0.903975,1.696287,5.2666,2.0641,0.643713,3.03343,8.863437,-0.443264789735673,0.750760873868402,0.342563522140053
"T005",-0.48,0.556,3.423,-0.37,0.46,0.09,-0.08,0.06,-1.94,-1.65,-0.23,-0.79,3.165,3.263,2.03,0.792,0.743,0.952,2.55,-3.129,-7.128,-0.491,2.226,0.738,2.167,4.2229,2.15734,0.8903,4.02621,4.13535,4.35193,2.40676,2.65596,3.71449,1.72077,-0.06311,-0.12769,-0.33117,-0.28976,-0.83365,0.10323,-0.35258,1.18891,0.11819,-0.36726,1.04093,1.47382,0.86693,1.01213,-1.38088,-0.70074,1.247327,2.5572,1.16608,-2.12525,0.249512,3.102743,-0.28074,-0.753753,2.734724,8.376238,0.374850279541084,-0.511618021307462,0.335450703228984
"T006",-0.675,-0.393999999999999,1.941,0.5,0.75,0.02,0.06,0.06,-3.08,-1.97,-2.21,-2.046,2.569,0.743,0.849,0.788,0.232,1.116,4.301,-3.371,-4.758,-1.549,0.777,-1.126,1.986,4.58999,2.04149,0.58459,4.48259,4.67119,4.53827,3.08066,3.37794,3.65068,1.54187,0.08861,-0.06698,-0.24792,0.171,-0.96464,0.2594,-0.44065,0.833,-0.2619,0.254,0.6464,1.12031,1.05105,1.0478,-1.38787,-1.0151,0.160947,-0.1509,-0.15458,-1.86775,-0.673963,3.154686,-0.9623,0.268167,3.670167,9.290038,0.415509592576256,-0.716324661380963,-0.433984919360873
"T007",-0.111999999999999,-0.226,3.654,1.05,-1.31,-0.03,-0.17,0.02,-1.42,-1.04,-0.11,2.052,4.133,3.393,2.522,1.328,1.586,1.379,3.042,-1.938,-4.015,1.526,2.843,1.782,3.326,4.43602,2.48232,1.04573,4.24536,4.43896,4.06492,2.98886,3.28155,3.84214,2.21342,-0.73779,-0.37634,-0.72605,-0.56383,-0.98133,-0.22945,-0.32501,1.92991,0.19967,-0.64315,1.0477,1.70399,0.85052,1.30613,-2.00193,-0.78227,1.890513,2.5324,1.93592,-1.019325,3.463437,4.403757,1.33164,1.672713,3.081152,7.600925,0.301016460854543,-0.242762304091872,-0.308747919094263
"T008",0.616,-0.526,5.98,1.7,-0.27,-0.07,0.06,-0.02,0.71,0.11,1.65,2.506,5.458,5.257,4.783,4.378,3.294,2.645,2.824,-1.76,-0.969,2.905,4.479,2.841,4.554,5.63177,3.11468,1.75403,5.1239,5.40247,4.97787,4.03834,4.24862,4.78931,3.0949,-1.44485,-1.91063,-1.2473,-1.50408,-1.66911,-0.85416,-1.37899,2.52887,1.35837,-2.02465,1.38071,2.10384,1.20242,1.75954,-2.22371,-1.4311,3.473413,4.6224,4.7539,0.81215,4.114262,4.735543,3.4127,1.533753,5.333188,9.551813,0.439009972572504,0.49019342166162,-0.532594910723818
"T009",-0.393999999999999,-0.278999999999999,3.824,1.11,0.83,0.02,0.08,0.06,-1.47,-1.2,-0.36,1.35,4.137,3.113,2.799,1.671,1.611,1.572,4.886,-2.191,-4.258,0.792,2.991,1.279,4.117,4.43529,2.16633,0.8984,4.32062,4.52366,4.59111,2.9637,3.44404,3.9706,2.2006,-0.46006,-0.51344,-0.31338,-0.4958,-1.03208,-0.09111,-0.40677,1.80048,0.27194,-0.33697,0.95088,1.5414,1.05025,1.35048,-1.69851,-0.99682,1.977493,2.0008,1.9192,-0.5018,1.64805,3.726471,2.22428,0.945447,3.830539,9.886138,0.448708572740559,-0.70251336153555,-0.510379026627684
"T010",0.048,-0.529,3.181,1.1,0.4,-0.05,0.14,0,-1.01,-0.87,-1.25,-1.286,3.906,2.051,1.78,0.556,1.924,2.71,3.996,-0.133,-6.754,-3.285,1.471,0.743,3.058,4.88038,2.48674,0.77549,4.67047,4.78337,4.66125,3.5661,3.79066,4.02215,2.12894,-0.21226,-0.29542,-1.197,-0.17163,-1.78858,-0.27071,-0.85508,1.12367,0.07538,-0.77851,0.7144,1.34444,1.07914,1.39201,-1.87964,-1.12802,0.639373,0.6813,0.927,-3.181,-0.624712,4.622143,-0.55604,0.942273,3.614509,9.867625,0.492481298193998,-0.074712738509245,-0.613084633770182
"T011",-0.132,0.122,3.448,0.09,-0.09,0.01,-0.03,0.03,-0.91,-1.16,-0.67,-1.58,3.084,2.765,2.255,0.885,0.658,0.78,2.773,-2.313,-2.384,0.386,1.794,0.382,2.348,5.17508,3.21341,1.11233,4.89174,5.13065,4.95295,3.33678,3.53276,4.37194,2.11496,-0.62559,-0.29908,-0.54787,-0.432,-1.40471,-0.27558,-0.44722,1.10961,0.25088,-1.40513,0.95963,1.52608,0.84544,1.26965,-1.80418,-0.93456,0.736633,2.1026,1.49132,-2.182775,-0.401588,4.0127,-0.06812,-0.28522,3.050755,8.555663,0.347470734272694,0.0788859316147215,0.171871262351398
"T012",-0.413,0.648,3.441,-1.27,0.14,0.08,-0.13,0.07,-1.19,-1.03,-0.28,-0.391,3.996,3.202,2.336,2.355,1.281,1.976,0.912,-1.01,-5.077,0.476,1.876,0.403,1.922,4.48418,2.32945,1.19784,4.16414,4.23054,3.91961,3.1788,3.3306,3.82436,1.74634,-0.2335,-0.16378,-0.54394,-0.22648,-1.25913,-0.21711,-0.65043,1.0862,0.12858,-1.00855,1.29013,1.46604,1.03737,1.30487,-1.67316,-0.84335,1.103953,3.0544,2.04362,-1.47185,0.9387,4.329643,1.11736,1.304107,4.624588,8.001262,-0.297913089286944,-0.357019348792512,0.691063925383448
"T013",0.498,0.636,4.974,-1.03,-0.62,0.1,-0.15,-0.06,0.34,0.67,0.15,0.108,4.02,3.675,3.288,2.409,2.123,2.317,-0.781,0.7,-2.773,2.058,2.467,1.402,3.315,4.82134,3.76919,2.30464,4.91573,5.06642,4.65329,2.79003,2.86163,3.98952,2.97307,-0.77229,-0.87601,-1.32881,-0.55023,-1.29254,-1.04802,-1.01662,1.25584,0.708,-2.69911,1.64388,1.54793,1.01672,1.43024,-1.7864,-1.12754,1.56778,2.7884,1.83798,-0.575925,0.553113,4.963814,0.1847,1.00052,2.672979,7.324912,-0.719014643387834,0.661489385066761,0.715407845034735
"T014",0.667999999999999,0.482,5.176,0.84,-1.22,-0.06,-0.1,-0.02,0.85,0.42,0.82,1.867,5.105,4.392,4.054,2.836,2.784,2.728,3.233,-0.134,-1.92,1.908,3.768,2.679,3.919,5.14782,3.30496,1.51036,4.90201,5.17419,4.89992,3.5859,3.83478,4.34645,2.65563,-1.26558,-1.16216,-1.416,-0.92718,-1.68245,-0.94831,-1.321,2.18403,0.94762,-2.09166,1.28026,1.80812,0.95994,1.50909,-2.11928,-1.21158,2.384133,3.415,2.7305,-0.02945,2.325875,5.076757,1.99562,0.74866,2.822421,8.75105,-0.145750551127602,0.495138258647471,0.087418402585147
"T015",0.805,-0.321,6.365,1.17,-1.52,-0.14,0,-0.1,1.66,1.09,1.49,2.929,6.408,5.083,4.798,4.114,4.079,4.442,2.144,0.718,-1.215,2.477,4.859,3.458,4.872,5.50118,3.78012,1.89671,5.26195,5.43677,5.27558,4.26884,4.38676,4.64418,3.1003,-1.62507,-1.64078,-2.20303,-1.43888,-2.17189,-1.28626,-2.00537,2.76749,1.5735,-2.32838,1.55904,2.07754,1.18883,1.88447,-2.66769,-1.7446,3.46386,3.7799,3.5629,0.93725,3.0569,6.084457,1.30762,0.822367,3.491755,9.27115,-0.504502851708534,0.789688282820338,-0.223425785663332
"T016",-0.659,-0.042,2.953,-0.22,1.45,0.06,0.1,0.09,-1.95,-1.23,-1.08,-0.9,3.361,2.283,1.461,1.616,1.093,1.3,6.453,-2.989,-5.992,0.094,1.564,0.025,2.075,4.37605,2.04896,0.781,4.0225,4.1943,3.73173,3.01197,3.20289,3.77395,1.72573,-0.11784,-0.21695,-0.18973,0.0056,-1.04414,-0.11299,-0.54558,1.23398,-0.16825,-0.43382,0.8987,1.26635,1.0915,1.10918,-1.44029,-0.85871,0.51664,1.3163,0.93494,-1.483325,0.192375,3.166329,0.33894,0.965407,4.022021,9.348588,0.478666047250933,-0.807345372719777,-0.325892554112047
"T017",-0.442,-0.472,3.544,0.82,0.37,0.02,-0.01,0.06,-2.01,-1.35,-0.48,0.04,3.434,2.981,2.272,2.455,1.534,1.731,3.677,-2.038,-4.989,-0.174,1.97,1.231,1.836,4.40322,2.52952,1.12375,4.20764,4.45625,4.5021,2.84373,3.16303,4.13572,2.15046,-0.42159,-0.20124,-0.33172,0.05853,-0.74304,-0.01769,-0.76354,1.34349,-0.17389,-0.08539,0.73798,1.37998,0.92501,1.27039,-1.67183,-0.78632,1.061947,2.1177,1.34376,-1.72725,1.16795,3.935486,-0.23622,1.352707,4.313436,8.950012,0.483813426858785,-0.511286365124633,-0.588856049890268
"T018",0.049,-0.797999999999999,4.429,1.39,-0.07,-0.1,0.09,0.04,-1.02,-0.74,0.3,2.468,4.993,3.842,3.242,2.417,2.318,1.884,4.558,-2.888,-2.63,1.98,3.472,1.76,2.706,5.04376,2.64558,1.3806,4.60407,4.85763,4.6797,3.32808,3.76181,4.57594,2.63304,-0.9378,-0.61785,-0.40612,-0.7614,-0.96122,-0.38338,-1.03871,2.0636,0.42288,-0.77493,0.88552,1.67761,1.10893,1.47899,-1.81527,-0.99128,2.408673,3.0246,2.48012,0.1343,3.885388,4.362286,2.17706,1.24724,4.804045,9.794625,0.578257065093497,-0.451328999300006,-0.830443600662312
"T020",0.3,0.437,3.89,-0.28,-0.07,0.01,-0.03,0.02,-0.34,-0.7,-0.19,-0.738,4.631,3.306,2.707,0.476,1.67,2.351,3.5,-1.166,-4.108,0.481,2.642,1.427,2.837,4.92079,2.68828,1.22122,4.4723,4.69452,4.67114,3.35803,3.45997,3.94686,2.545,-0.40565,-0.46186,-0.43298,-0.21378,-1.66604,-0.33222,-0.89687,1.30197,0.35373,-1.33721,1.13881,1.49842,0.95898,1.26565,-1.74723,-0.96782,1.506333,2.191,2.1678,-2.21175,0.336375,4.879857,0.2438,1.871467,3.106758,8.425375,0.314796371098823,-0.0728640017031442,0.182548856151033
"T022",0.416,0.305,4.447,1.17,-0.01,0.01,0.04,-0.03,0.37,0.2,0.19,0.417,4.426,3.721,3.473,2.466,2.219,2.403,3.403,0.974,-0.775,1.943,2.715,2.297,3.863,4.82294,2.8976,1.33401,4.70216,5.04936,4.66737,3.64977,3.79901,4.21016,2.65928,-1.03376,-0.97777,-1.06124,-0.62374,-1.45964,-0.82604,-1.12314,1.88226,0.47725,-1.82908,1.09245,1.74499,1.02341,1.54015,-2.30855,-1.24009,1.85006,2.645,2.8858,-0.20975,0.465413,5.010086,0.34214,2.045213,3.511539,9.365913,0.348565202448641,0.264904809923901,-0.280606021461331
"T023",0.28,-0.499,4.758,0.79,-0.38,-0.11,0.04,0.03,-0.29,-0.1,0.97,0.636,5.281,4.549,3.367,2.7,2.603,3.115,4.437,-1.981,-1.977,0.894,4.039,2.534,4.394,4.77662,2.79069,1.3033,4.60859,4.84298,4.49316,3.63458,3.75777,3.98761,2.55415,-1.05343,-1.03337,-0.61084,-0.9674,-1.78878,-0.61474,-0.88472,2.04307,0.79028,-1.0491,1.10006,1.74254,1.07617,1.50445,-2.11394,-1.16388,2.66684,3.4089,2.8098,-0.422325,1.5615,5.000086,2.36806,1.337427,3.297279,8.792288,0.352038950184454,-0.413538235270495,-0.654525058448461
"T024",-0.177,0.709,3.899,-0.64,0.99,0.12,-0.01,0.05,-0.97,-0.83,-0.09,-0.033,4.314,3.417,2.662,2.993,1.943,2.186,1.96,-0.766,-6.753,0.433,2.864,1.353,2.297,4.59629,2.61788,0.95492,4.58292,4.4381,3.97537,3.00548,3.35424,3.8648,1.98319,-0.51821,-0.48085,-0.94781,-0.30922,-1.29685,-0.32985,-0.81407,1.6418,0.36125,-0.83543,1.48218,1.60661,1.00489,1.26918,-1.78242,-1.01507,1.816819,2.32215,1.771994,-0.671238,0.454769,4.112769,2.327156,-0.119285,3.67971,8.790052,-0.423770848228899,-0.127329192546618,0.661601951457294
"T025",-0.680999999999999,-0.586,0.74,-0.07,-0.01,-0.01,-0.03,0.06,-3.13,-1.93,-2.92,-4.753,1.498,-0.662,-0.558,0.423,-0.862,-0.071,4.736,-1.485,-7.327,-2.432,-1.295,-2.186,0.888,4.80346,2.04369,0.66097,4.24142,4.49587,4.41663,2.779,2.92826,3.62569,1.90061,0.36636,0.12189,-0.33987,0.10606,-1.00583,0.19108,-0.08663,0.25836,-0.23348,0.27551,0.52021,0.91564,0.90506,0.89046,-1.34847,-0.68261,-0.907067,-1.316,-1.0264,-3.2805,-2.67525,2.622857,-0.517,0.564467,3.222273,8.419375,0.57535484150883,-0.614686304432358,-0.517485653314565
"T026",0.682,0.494,5.9,1.03,-2.07,-0.08,-0.19,-0.04,1.16,1.44,1.25,4.09,5.376,4.832,4.888,1.574,3.204,2.345,-2.555,0.069,-0.944,1.781,3.777,2.484,3.105,5.83125,4.01962,2.25001,5.68421,6.00651,5.59092,4.06334,4.31957,4.74496,3.55451,-2.10481,-1.69927,-1.86582,-1.1706,-2.10776,-1.71096,-1.64618,2.92728,1.05097,-3.10147,1.79956,2.12265,1.02779,1.78532,-2.58623,-1.34001,2.955507,4.0822,3.11184,0.054675,4.610437,5.595586,2.07126,0.98974,2.504315,7.834025,-0.544670805958026,0.69963074814466,0.594610460755813
"T028",0.632,0.113,5.698,1.7,-1.26,-0.07,-0.1,-0.02,0.69,0,1.39,2.325,5.509,4.986,4.359,2.671,3.222,1.931,3.298,-0.173,-2.746,3.347,4.055,2.793,4.101,5.20233,3.32213,1.44867,5.02359,5.20138,4.74736,3.73755,4.07919,4.53534,2.91586,-1.38578,-1.18607,-1.37898,-1.23219,-1.37342,-0.75448,-1.11851,2.51074,1.08181,-1.79871,1.29416,2.00707,1.07868,1.60892,-2.2056,-1.08241,2.905733,4.165,3.7162,0.93575,2.90625,4.733143,2.5296,1.193067,3.861455,8.886,0.244695192245976,0.439291623236283,-0.203376413433387
"T029",-0.54,0.631,2.609,-0.47,-0.56,0.06,-0.19,0.05,-1.85,-1.79,-1.47,-0.152,3.343,1.795,1.31,0.179,0.463,1.14,1.821,-2.94,-6.055,-0.656,1.462,0.312,2.326,4.56194,2.35784,1.02834,4.50462,4.25152,4.2473,2.82724,3.01984,3.61969,1.71285,-0.36828,-0.40804,-0.26616,-0.17442,-1.10543,0.13149,-0.21029,1.82693,0.20043,-0.1723,1.04291,1.47032,0.87703,1.01,-1.45106,-0.70205,0.728333,0.966,0.4366,-2.6265,0.66575,3.407286,-1.4386,0.343533,2.819636,6.774125,0.234172038329289,-0.455706334171586,0.483131220217725
"T030",-0.509,-0.78,1.539,0.15,1.29,-0.01,0.21,0.02,-2.14,-1.07,-2.16,-1.937,2.484,0.798,0.373,0.912,0.196,1.389,5.12,-2.909,-7.032,-4.023,0.454,-1.366,2.001,4.94363,2.66136,1.09168,4.65528,5.05253,4.47627,2.79105,3.0275,3.98545,2.13307,0.09687,-0.20395,-0.1797,0.17274,-0.99133,-0.19604,-0.64318,0.93957,-0.10245,-0.16044,0.47432,1.0191,1.04709,1.1632,-1.48233,-0.88056,-0.335733,-0.42,-0.4124,-3.416,-1.426625,3.194429,-0.8846,0.418667,4.208121,9.91625,0.571807996025533,-0.486075935798002,-0.767804258429347
"T031",0.705,-0.515,6.433,2.09,-1.68,-0.16,-0.03,-0.06,1.41,0.69,2.85,4.326,7.049,6.471,5.191,3.098,4.325,3.339,4.051,-0.263,-0.568,3.801,5.373,3.894,4.4,5.50995,3.26863,1.78204,4.95626,5.46412,4.82035,4.15113,4.28797,4.7968,3.25389,-1.33022,-1.68958,-1.50652,-1.72555,-1.64906,-1.06174,-1.59131,3.01449,1.39777,-2.08792,1.58395,2.25874,1.22302,1.83614,-2.42878,-1.33939,3.96446,5.6122,4.46644,1.55205,5.78665,5.365,2.75536,1.094493,4.44593,9.567575,0.157778734663426,0.668848150394575,-0.631230483977436
"T032",0.567,0.208,5.439,0.65,0.26,-0.03,0.15,-0.07,1.55,1.28,0.82,1.085,5.655,4.391,3.767,4.982,3.276,4.048,1.086,0.785,-1.432,2.303,3.897,2.984,4.427,5.11308,2.9349,1.60469,4.86116,5.08367,4.71419,3.84424,4.06033,4.32748,2.70042,-1.6266,-1.45662,-1.68182,-1.07677,-1.93889,-1.28412,-1.7776,2.0778,0.97996,-1.92847,1.33808,1.75676,1.09475,1.63805,-2.44478,-1.55835,2.685113,3.0222,2.43052,-0.1836,2.221662,5.575343,1.42366,1.03082,3.498624,9.894575,-0.370946113058842,0.603381606721279,-0.16118059892906
"T033",0.714,0.242,6.129,0.97,-1.75,-0.09,-0.06,-0.12,1.93,1.75,1.74,2.525,6.325,5.341,4.901,4.634,3.995,4.292,2.436,1.186,-0.626,2.238,4.743,3.706,4.604,5.37353,3.68142,2.20994,5.39521,5.49343,5.30866,4.15736,4.33974,4.63667,3.36686,-1.77214,-1.73816,-2.11592,-1.55285,-2.16981,-1.57065,-1.90538,2.53643,1.4624,-2.90999,1.60408,2.00715,1.12143,1.81764,-2.58575,-1.72908,3.6034,4.05765,3.537232,0.312645,3.625669,6.077504,2.33968,1.605023,3.241055,8.909521,-0.607295160458967,0.68065889680998,0.178333139773633
"T035",0.598,0.48,5.671,-0.14,-0.13,0.05,-0.03,-0.04,1.57,1.56,1.13,3.207,5.564,4.711,4.676,3.983,3.212,2.838,3.035,-0.161,-0.482,2.556,3.965,3.133,5.007,4.9245,3.56367,2.23412,4.89222,5.12185,4.58933,3.5493,3.6672,4.19969,3.07295,-1.68605,-1.53592,-1.73734,-1.29477,-1.63431,-1.3944,-1.44094,2.13183,1.20771,-2.35438,1.53901,1.85224,0.97529,1.62881,-2.03694,-1.15654,2.749267,3.3976,3.20788,0.36965,4.520112,4.908243,3.0614,0.48134,3.041221,8.557237,-0.608553679835255,0.634100934376068,0.54165972745399
"T036",0.61,0.025,5.562,1.27,-0.99,-0.07,-0.02,-0.05,1.13,0.48,1.54,2.686,5.285,5.138,4.001,2.199,3.285,3.051,2.904,0.084,-0.898,1.828,4.036,2.532,3.925,5.45198,3.05985,1.44059,4.73734,5.38649,5.23772,3.73435,4.21969,4.48158,3.02259,-1.45627,-1.28566,-1.49994,-1.10639,-1.82749,-0.96532,-1.34497,2.81688,0.91979,-2.35203,1.29674,1.92607,0.96644,1.56141,-2.43411,-1.26609,2.645673,4.1588,2.81234,0.06365,3.389425,5.410243,0.921,0.98058,3.348761,9.215513,-0.039481559537698,0.508657313408217,-0.238462519476901
"T037",0.351,0.643,2.177,-1.15,-0.54,0.1,-0.14,-0.06,-1.17,-0.92,-2.59,-1.54,3.748,-0.111,1.182,1.108,0.673,2.321,-1.193,1.265,-6.916,-1.317,0.8,-0.193,1.923,4.51124,3.09775,1.69649,4.70163,4.75512,4.5038,2.53246,2.58722,3.77361,2.90141,-0.56776,-0.23539,-0.9677,-0.03747,-1.53118,-0.26214,-0.45681,0.45446,0.02514,-2.06927,1.52187,1.24733,1.07219,1.29259,-2.0176,-1.13367,0.3296,-1.801,-0.8034,-2.32525,-0.731125,4.899714,-0.0982,1.076133,2.147697,6.67925,-0.54759313001487,0.647861448997592,0.680491596132158
"T038",0.637,-0.2,5.604,1.24,-0.85,-0.08,-0.01,-0.03,0.86,0.11,2.65,2.536,6.641,6.271,4.62,3.937,3.613,3.299,3.615,0.183,0.751,4.174,5.115,3.37,4.609,5.11399,2.79303,1.27604,4.7411,5.10415,4.8533,4.08459,4.15759,4.50054,2.85809,-1.54306,-1.65089,-1.0701,-1.3365,-1.68407,-0.74837,-1.3594,2.78733,1.27773,-1.77797,1.47094,2.03948,1.11226,1.75944,-2.23961,-1.33124,3.718333,5.779,4.0666,1.235,3.027,5.190714,2.5366,1.4244,4.163091,8.887375,-0.130464353412639,0.407763925509351,-0.0643376844393043
"T039",-0.535,-0.688,3.164,0.31,0.48,-0.01,0.06,0.05,-2.44,-1.1,-0.69,-2.649,3.663,2.741,1.79,0.921,1.267,2.456,2.914,-2.424,-4.908,-0.399,1.653,0.069,2.395,4.18864,2.06176,0.83544,4.10585,4.17484,3.88328,3.1273,3.36553,3.60512,1.85084,-0.1559,0.10642,-0.28409,0.09004,-1.40958,-0.11655,-0.46729,0.70357,-0.28423,0.1038,0.55908,1.28601,0.93234,1.21943,-1.83155,-1.0327,0.304313,1.6072,0.89358,-2.367925,-1.22285,4.1652,0.28678,0.859793,2.995403,8.903813,0.479854590649134,-0.707145433090883,-0.739343765349472
