"","STAT1.gsva","GGI.gsva","CytScore.log2","TIDE.Dysfunction","TIDE.Exclusion","TIDE.MDSC","TIDE.CAF","TIDE.TAM.M2","TIDE.IFNG","TIDE.CD274","TIDE.CD8","Danaher.B.cells","Danaher.CD45","Danaher.CD8.T.cells","Danaher.Cytotoxic.cells","Danaher.DC","Danaher.Exhausted.CD8","Danaher.Macrophages","Danaher.Mast.cells","Danaher.Neutrophils","Danaher.NK.CD56dim.cells","Danaher.NK.cells","Danaher.T.cells","Danaher.Th1.cells","Danaher.Treg","B2M","TAP1","TAP2","HLA.A","HLA.B","HLA.C","HLA.DPA1","HLA.DPB1","HLA.E","HLA.F","PD.1","CTLA.4","LAG3","TIGIT","TIM3","PD.L1","PD.L2","CD27","ICOS","IDO1","Act.CD4","Act.CD8","Tem.CD4","Tem.CD8","MDSC","Treg","T.cells","CD8.T.cells","Cytotoxic.lymphocytes","NK.cells","B.lineage","Monocytic.lineage","Myeloid.dendritic.cells","Neutrophils","Endothelial.cells","Fibroblasts","ECM.associated_HM.et.a.gsva","Immune.response_HM.et.a.gsva","Proliferation_HM.et.a.gsva"
"T133",-0.391,0.456,2.238,-1.18,0.91,0.05,0.12,-0.01,-0.25,0.21,-1.56,-2.943,4.472,1.68,0.785,2.615,1.026,2.489,3.257,0.947,-6.978,-1.75,1.044,-0.341,2.55,4.69814,2.22538,0.96064,3.95376,4.27428,4.14221,3.14692,3.29647,3.64799,1.70474,0.09025,-0.86484,-0.72367,-0.30378,-1.4966,-0.71854,-1.18862,0.59712,0.37979,-0.76825,1.08027,1.15433,1.04614,1.20176,-1.85885,-1.25699,0.224333,1.062,-0.46556,-2.5825,-1.557138,4.7926,-1.10356,1.239313,3.081215,8.976112,-0.0934243792932259,-0.451245914548046,-0.00700557382955413
"T134",0.699,0.371,6.288,0.57,-1.89,-0.11,-0.16,-0.01,1.29,0.68,1.86,3.805,6.722,5.463,5.063,2.4,3.607,2.958,4.955,0.027,0.981,3.803,5.016,3.194,3.633,5.52863,3.34686,1.68989,4.96764,5.32187,5.06957,4.01257,4.12507,4.58494,2.88085,-1.43606,-1.39241,-1.35165,-1.62213,-1.61109,-1.0934,-1.50969,2.78802,1.4037,-1.99575,1.55505,2.1724,1.15862,1.6646,-2.18408,-1.17542,3.41508,4.5646,3.82516,1.588,4.996587,5.179586,2.5825,0.727707,3.058794,8.537275,-0.495330389433049,0.636519098109419,0.272954961719711
"T135",0.296,0.483,3.377,-0.98,1.15,0.01,0.22,-0.04,-0.79,0.33,-1.82,-1.575,6.209,1.298,1.89,2.758,1.699,4.546,2.205,1.103,-5.378,-0.19,2.246,-0.032,3.041,4.73803,2.15723,1.45799,4.14971,4.26806,3.79344,3.31931,3.35113,3.69392,2.1261,-0.22922,-0.6672,-0.28598,-0.31557,-1.91441,-0.73637,-1.2721,0.83072,0.54112,-0.57258,1.34115,1.22557,1.25306,1.5154,-2.08958,-1.6132,1.154833,-0.4304,1.6488,-1.184225,-0.877813,5.9289,0.67426,1.315933,3.885903,10.070987,-0.398309220866618,0.0943782326536934,0.38349724830465
"T136",0.532999999999999,0.567,3.731,-1.02,-1.08,0,-0.1,-0.07,0.29,1.58,-1.54,0.3,4.71,1.685,2.023,3.73,1.703,3.384,-1.03,-0.029,-2.645,-0.233,1.984,1.128,2.568,5.55471,3.16106,1.729,4.58643,4.90191,4.52047,3.68083,3.69349,3.99676,2.01185,-0.36457,-1.18324,-1.53098,-0.33429,-1.77243,-1.6222,-1.54834,1.64629,0.5989,-2.28344,1.65582,1.44903,1.01335,1.4978,-2.32263,-1.48171,1.10276,0.6741,0.8188,-1.267375,1.285937,5.231129,-0.88894,0.448793,2.654903,7.848987,-0.633771816827023,0.639172941315583,0.652083213356787
"T137",0.436,-0.341,4.466,-0.86,0.12,-0.04,0.08,-0.01,-0.28,0.37,0.33,-0.256,5.892,3.862,2.583,1.407,2.127,3.259,3.373,-0.905,-2.924,-0.117,3.484,1.396,3.17,4.83,2.53602,1.48741,4.36025,4.33581,3.89178,3.41804,3.33045,3.82279,2.09616,-0.34333,-0.96873,-0.36453,-0.75043,-1.60525,-0.76278,-1.14556,1.34007,0.81239,-0.40898,1.11424,1.67217,1.14913,1.394,-1.76202,-1.29575,1.856067,2.256,1.5516,-0.12575,-0.027,5.107429,-0.7732,1.4492,3.531303,8.80125,-0.112240769979243,-0.132993205510442,-0.476283237829587
"T138",0.508,0,3.763,-0.18,-1.07,-0.02,-0.14,0,-0.44,-0.36,-0.25,2.233,5.142,3.242,2.676,2.036,1.829,2.34,3.455,-1.256,-1.921,1.532,3.352,1.843,3.117,5.02692,2.77838,1.29318,4.26322,4.59753,4.70509,2.77342,3.05243,4.06808,2.28407,-0.56494,-0.96565,-0.57913,-0.59786,-1.40767,-0.49934,-0.78022,1.82234,0.87648,-0.78237,1.08965,1.57185,0.96618,1.20222,-1.62806,-0.94781,2.122185,2.20699,1.96388,-0.742915,3.264778,4.671229,0.879388,1.057374,3.578705,7.690697,0.0315571674653344,0.42041582108677,-0.237212370606946
"T139",-0.39,0.547999999999999,3.205,-1.34,0.49,0.07,-0.01,0.02,-1.03,-0.87,-0.54,0.182,4.327,2.896,1.442,0.51,1.345,1.186,2.117,-2.668,-2.691,-0.599,2.365,0.342,2.911,4.72475,2.24669,0.85401,4.0687,4.42367,4.05585,2.57739,2.93989,3.54243,1.73674,-0.2685,-0.66068,-0.58726,-0.42169,-1.08248,-0.2335,-0.47682,1.2613,0.57889,-0.44111,1.35012,1.35896,1.00073,1.15468,-1.54872,-0.78839,1.049627,1.3091,0.86714,-2.945125,2.499262,3.812229,-0.0927,0.235967,3.188715,8.6573,-0.149375359492587,-0.400533867312822,0.469572169506169
"T140",0.226999999999999,-0.546,4.151,-0.18,-0.85,-0.1,-0.02,0.01,-0.92,1.2,-0.7,0.486,4.732,2.724,2.73,2.411,1.499,2.522,4.675,0.024,-6.959,-0.16,2.373,0.694,2.318,4.94492,2.53462,1.27811,4.3105,4.86998,4.59043,3.20656,3.4059,3.89244,2.04671,-0.24524,-0.4628,-0.25978,-0.28993,-1.51658,-1.30198,-0.94247,1.44207,0.3931,-0.4497,1.08841,1.5154,1.0976,1.25613,-1.85688,-1.13883,1.330733,1.539,1.7878,-1.85175,1.206875,4.718286,1.141,1.6804,4.406424,8.45475,0.247225209516751,-0.0827030565179047,-0.505781331818113
"T141",0.542999999999999,-0.247,4.019,-1.05,-0.36,-0.13,0.1,0,0.4,-0.11,0.16,-0.5,5.853,3.689,2.941,2.529,1.718,3.942,5.878,-0.255,-2.654,0.733,3.277,0.876,2.298,5.50724,2.51292,1.30286,4.33785,4.96373,4.40756,3.95836,3.78513,4.05029,2.47198,-0.14037,-0.97631,-0.14907,-0.73947,-2.18437,-0.65248,-1.39698,1.56556,0.79794,-1.32751,1.23427,1.59478,1.21132,1.50642,-2.12389,-1.39243,1.84004,2.7127,2.3253,-1.014825,0.2232,5.729371,1.1159,1.518487,3.451136,9.095025,-0.0882214784245271,0.387492194978373,-0.119201947435527
"T142",0.750999999999999,0.371,6.007,-0.07,-2.27,-0.11,-0.18,-0.06,1.75,1.14,2.22,2.607,6.717,5.835,4.928,3.379,3.401,2.817,3.746,-0.698,0.851,3.897,5.058,2.688,3.636,5.86328,3.47071,1.84262,5.00441,5.42163,4.92083,4.07818,3.98263,4.39305,2.75822,-1.10249,-1.5379,-1.33937,-1.56296,-1.73142,-1.34106,-1.67125,2.537,1.74533,-2.09558,1.76933,2.22325,1.09334,1.71793,-2.29443,-1.18118,3.36982,4.9319,4.07718,1.1245,3.394588,5.220443,2.37004,1.209413,2.821794,7.5264,-0.444780850949052,0.754438597211728,0.404995264324794
"T143",0.795,0.515,7.686,-0.17,-2.2,-0.04,-0.19,-0.12,3.04,3.26,2.45,3.155,6.716,6.063,5.785,3.486,4.576,3.903,0.602,0.559,-4.224,3.444,5.224,4.075,4.759,5.46684,4.23262,2.4428,5.38434,5.4731,5.22297,3.89191,3.89289,4.47711,3.5989,-1.9307,-1.85015,-2.63906,-1.83766,-2.13851,-2.2488,-2.02829,2.52079,1.95772,-3.93634,1.89096,2.19111,1.12433,1.71762,-2.37939,-1.57072,3.712913,4.7732,4.49228,0.961325,3.493438,5.6009,1.28706,0.195887,2.917973,7.36775,-0.677717272674717,0.876798551888322,0.624026627110286
"T145",-0.463999999999999,-0.313,2.458,-1.1,-0.48,-0.05,-0.05,0.04,-2.12,-1.47,-1.98,-0.587,3.055,1.109,0.69,0.407,0.264,1.188,3.359,-2.851,-6.517,-1.776,0.938,-1.365,0.415,4.85831,2.10098,0.79604,3.77533,4.24968,4.17514,3.32263,3.39865,3.8447,1.60741,0.08868,-0.04652,0.10873,0.12389,-1.07114,-0.02378,-0.60789,0.76505,-0.12772,0.01992,0.90625,1.15989,1.02784,1.12483,-1.41244,-0.80269,-0.21068,0.3525,0.1318,-2.35065,1.347138,3.453329,-0.67936,0.911967,3.408627,7.249512,0.350257308210782,-0.332200733005712,-0.14985659556379
"T147",-0.333999999999999,0.637,1.483,-1.46,0.03,0.02,-0.02,0.02,-1.26,-0.76,-2.28,-1.635,4.484,0.585,0.749,1.914,1.062,2.741,4.311,0.753,-5.71,-1.733,0.921,-1.039,1.974,4.90382,2.31351,0.90487,4.20929,4.57027,4.36778,3.65189,3.58352,3.71779,2.09554,-0.00022,-0.27175,-1.34524,-0.16418,-1.73537,-0.35617,-1.0661,0.54169,0.24401,-0.21859,1.23364,1.09672,1.05735,1.18449,-2.10006,-1.21671,0.18234,-0.6039,0.27578,-3.350425,-0.449587,5.3047,1.49212,1.288553,2.377133,8.526,-0.206809453095079,-0.0737092886987911,0.557546206225761
"T148",0.442999999999999,0.258,3.603,-0.44,-0.23,-0.04,0.01,0.01,-0.1,-0.02,-0.5,0.771,4.815,2.957,2.41,2.287,2.051,2.564,2.342,-0.431,-3.173,0.052,2.485,0.975,2.752,5.14611,2.83031,1.35507,4.48232,4.99011,4.60843,3.64027,3.88033,4.07176,2.25982,-0.57371,-0.67032,-1.09168,-0.5565,-1.70863,-0.69273,-1.04263,1.64593,0.44832,-0.90312,1.09564,1.46315,1.02531,1.38544,-1.96174,-1.18646,1.321887,1.9151,1.87114,-1.75815,1.872562,4.918614,0.50924,0.97484,3.402461,8.504825,0.322336199493558,0.37720741619886,-0.0770040855485032
"T149",-0.439,0.099,3.677,-0.81,1.48,0.02,0.21,0.02,-1.56,-1.08,-0.49,-3.517,4.287,2.977,1.89,1.293,1.315,2.827,3.702,-1.479,-5.718,-0.614,1.632,-0.844,0.948,5.36185,2.15824,0.88675,4.16831,4.65146,4.19572,3.32839,3.46561,3.90738,1.7067,0.11358,-0.08509,-0.54638,0.02914,-1.76591,-0.25596,-1.31358,0.49783,0.06919,-0.28722,1.1255,1.3575,1.15315,1.29165,-1.85752,-1.28525,0.29372,2.1404,1.25866,-1.877325,-2.285325,4.316143,0.54906,0.52844,3.36467,10.019787,0.394599268391676,-0.00872660094762495,0.150215028120322
"T150",0.349,-0.565,5.199,-0.48,-0.73,-0.13,0.01,0.03,0.37,-0.07,0.73,2.21,6.209,4.298,3.52,2.899,2.688,2.497,3.159,-1.658,-1.217,2.18,4.092,2.455,2.854,5.28772,2.73585,1.36436,4.22541,4.65184,4.39156,3.74854,3.86156,4.24864,2.19936,-0.81079,-1.16857,-0.45301,-1.06749,-1.29608,-0.6913,-1.3187,2.10103,1.11387,-1.41875,1.24293,1.87068,1.16877,1.53888,-2.14366,-1.03257,2.696487,3.24802,3.065054,0.234995,3.475251,5.431649,2.433494,0.822471,4.118388,8.774575,0.00155669544672923,-0.111521110183317,-0.46211794658007
"T151",0.645,0.411,4.985,0.49,-0.77,-0.08,0,-0.02,0.45,0,0.73,1.62,5.561,4.298,3.709,2.709,2.998,3.065,3.571,-0.174,-1.132,2.006,3.968,2.64,3.628,5.39469,2.74114,1.50477,4.721,5.02807,4.75416,3.82902,3.91008,4.39738,2.45284,-0.76915,-1.45399,-1.04394,-1.16936,-1.80639,-0.77613,-1.59374,2.11764,1.29993,-1.52291,1.5368,1.85818,1.19991,1.59496,-2.13759,-1.26995,2.680773,3.4314,2.84636,0.154425,2.138463,5.175214,1.83372,0.95156,4.044209,9.030762,0.0682338407873833,0.654849629197733,0.294854521205464
"T152",-0.005,0.351,4.984,-0.84,-0.13,0,-0.05,0.03,0.52,0.58,0.86,1.984,6.212,4.425,3.959,3.396,2.852,2.5,3.198,-1.545,-2.444,2.534,4.116,2.532,2.868,4.45348,2.13234,1.25624,3.70044,4.04552,3.61336,2.89903,3.06629,3.65036,1.81274,-0.77773,-1.06615,-0.8245,-0.85326,-1.05247,-0.80133,-0.91536,1.70854,0.94244,-1.27581,1.34277,1.6265,1.08112,1.32506,-1.62505,-1.0116,2.571427,2.9513,2.62534,0.392725,3.052338,4.4364,2.35308,1.535727,4.114497,8.287838,-0.31842318932336,-0.549915530194003,-0.124722261583494
"T153",0.628,0.621,5.612,-0.81,-1.61,-0.03,-0.2,-0.02,1.08,0.94,1.11,2.917,6.134,4.696,4.341,3.326,3.088,1.372,-0.147,-1.01,-0.956,2.181,4.119,2.875,3.143,5.32959,3.38165,1.90499,4.9383,5.07758,4.62548,3.65521,3.68193,4.19409,2.67287,-1.27529,-1.13279,-1.29654,-1.21587,-1.60579,-1.15962,-1.39468,2.2828,1.09608,-1.64002,1.59063,1.84144,1.10486,1.57366,-1.92192,-1.1492,2.72276,3.769,3.30288,0.542325,3.66485,5.302571,1.65338,0.245653,2.983948,6.76885,-0.540255998010809,0.406218361449019,0.596396970881433
"T154",0.699,0.452999999999999,5.833,-0.07,-2.17,-0.05,-0.21,-0.07,0.56,0.98,1.29,1.328,5.559,4.88,4.552,3.005,3.396,3.187,0.087,0.062,-4.209,2.602,4.016,2.705,3.598,5.34343,3.32217,2.19723,5.06788,5.2765,4.78416,3.68613,3.68849,4.30545,3.07582,-1.64403,-1.35643,-2.20227,-1.32831,-1.96725,-1.30632,-1.33301,2.25538,1.15321,-1.70755,1.58206,2.07427,1.10262,1.65211,-2.37144,-1.28456,2.831618,3.75634,3.23479,0.391545,2.31852,5.403136,-0.707232,1.18387,2.134404,7.322163,-0.590602759036284,0.688801775581505,0.524374671765581
"T155",-0.364,0.223999999999999,2.802,-1.12,0.14,0.01,-0.04,0.05,-1.29,0.45,-0.51,-0.22,4.647,2.946,1.092,1.324,0.592,1.589,2.383,-0.389,-6.035,-0.851,2.216,-0.009,2.385,4.836,2.46437,1.19318,4.10807,4.14799,4.12775,2.90488,2.93467,3.675,1.66724,-0.14423,-0.23726,0.12553,-0.22687,-1.03517,-0.84463,-0.45541,0.87238,0.29652,-0.21494,0.97017,1.29436,1.12827,1.08373,-1.75392,-0.89423,1.176067,2.629,0.206,-2.44825,0.347125,3.953429,0.7008,0.4124,3.67803,8.068,-0.1565581731409,-0.457117744201353,-0.0750534967893551
"T156",-0.442,0.173,2.866,-1.23,-0.71,-0.01,-0.12,0.03,-1.39,-1.2,-0.83,-2.976,4.447,2.549,1.355,-0.014,1.283,0.213,4.036,-0.955,-6.388,-0.979,1.502,0.331,1.954,4.42111,1.80038,0.76512,3.53756,3.75459,3.63887,3.00366,2.92,3.15473,1.62066,0.32072,-0.03669,-0.44631,0.03727,-1.19353,-0.02498,-0.31782,0.55493,-0.08446,-0.17016,1.04265,1.20741,0.99557,1.0496,-1.27917,-0.83668,0.260053,0.8386,1.12264,-2.12235,-2.116975,3.645143,-0.57918,1.224647,3.174303,6.569825,0.290945290087567,-0.459456726953543,0.0641494403484851
"T159",-0.521,0.198,3.143,-0.72,-0.11,-0.01,-0.07,0.08,-2.24,-1.32,-0.48,1.255,4.096,2.991,1.921,0.639,1.064,0.703,4.674,-3.559,-5.708,-2.733,2.051,0.396,0.467,4.51543,1.64644,0.70648,3.75364,4.17033,3.72767,3.25393,3.4749,3.84456,1.48325,-0.31348,-0.04806,-0.10695,-0.08679,-0.92053,-0.09542,-0.31641,1.54077,0.11648,0.01852,1.04295,1.40329,1.06365,1.11201,-1.37937,-0.81464,0.975247,2.4138,1.36962,-2.239225,2.776838,3.165757,1.1037,0.86256,3.983285,8.414038,0.421490457386542,-0.590543321085281,0.169805362025919
"T160",0.564,-0.797999999999999,4.07,0.21,-0.1,-0.13,0.16,-0.01,-0.23,0.36,0,1.998,5.695,3.515,3.002,2.337,2.339,2.356,5.289,-0.491,-4.235,1.128,3.542,1.671,3.67,5.42085,2.64631,1.47638,4.55078,4.9933,4.70154,3.68618,3.687,4.20387,2.35994,-0.56563,-1.18686,-0.68576,-1.09708,-1.72439,-0.97881,-1.35615,2.06565,1.13397,-0.99882,1.1109,1.65994,1.20507,1.51345,-2.10579,-1.20833,2.400013,2.4138,2.03678,-0.2233,3.584062,5.067129,0.81434,1.437047,3.958958,9.735175,-0.0047227599655488,0.523258154964137,-0.605405072981722
"T161",0.256,-0.522,4.227,0.24,0.35,-0.1,0.17,0.01,-0.96,-0.5,0.03,1.505,5.378,3.534,2.916,1.728,2.215,2.947,4.781,-2.175,-4.254,0.883,3.06,0.946,2.679,5.01954,2.28102,1.10407,4.11538,4.63017,4.42032,3.81432,3.92472,4.11548,2.01175,-0.35628,-0.6689,-0.40781,-0.54266,-1.79812,-0.48288,-1.05409,1.87767,0.67778,-0.35405,1.20076,1.62264,1.15942,1.53191,-1.93946,-1.22379,1.794667,2.09,2.62898,-1.068325,2.743813,4.892814,0.62234,1.390547,4.031536,9.420988,0.311269937845428,0.0221994145122446,-0.481050103930384
"T162",0.336,-0.216,4.158,-0.34,0.55,-0.03,0.1,0.03,-0.01,-0.07,0.04,1.599,5.633,3.555,3.002,2.366,2.202,2.965,5.419,-2.074,-4.462,1.29,3.468,1.611,3.277,4.91427,2.52181,1.54612,4.04076,4.4324,4.08014,3.28529,3.47053,3.87634,2.13185,-0.37155,-1.07788,-0.75375,-0.9104,-1.34553,-0.62745,-1.15565,1.73116,0.8696,-1.26313,1.27099,1.65671,1.22472,1.35696,-1.78232,-1.08644,2.371,2.347,1.832,-0.355,2.84,4.611857,1.3246,0.860867,4.100909,9.731875,0.0565905607853904,-0.254172920362116,-0.32131247342875
"T164",0.138,0.249,2.671,-1.3,0.79,0.04,0.09,0.02,-1,-0.62,-1.48,-1.468,4.181,1.744,1.601,1.069,1.136,1.579,1.257,-1.803,-3.241,-0.024,1.982,-0.507,2.288,5.43139,2.71561,1.4596,4.22591,4.83106,4.66034,2.98887,3.18844,3.9312,2.12381,0.0371,-0.51246,-0.34926,-0.48462,-1.36239,-0.503,-0.72876,0.9085,0.47545,-0.57124,1.11951,1.38874,1.08491,1.1995,-1.52733,-0.95482,1.026,0.568,1.0836,-1.91375,-0.297625,4.076286,0.8264,0.3912,3.911212,8.922875,0.151410697709606,0.197552093284626,0.24332586894131
"T166",-0.2,-0.755999999999999,3.68,-0.24,-0.18,-0.15,0.09,0.06,-1.45,-0.99,-0.87,0.807,5.073,2.527,2.016,2.889,1.732,3.244,4.179,-0.782,-4.7,-0.697,2.253,-0.08,1.433,5.06315,2.03267,1.06736,4.13223,4.52308,4.27522,3.67523,3.99121,4.34209,1.90933,-0.02518,-0.42187,0.03483,-0.15616,-1.66938,-0.24697,-1.05962,1.72191,0.18389,-0.18991,0.84847,1.51464,1.27375,1.38031,-2.05688,-1.15161,1.294927,1.4555,1.61406,-1.433875,1.628938,5.650543,1.39434,1.471753,4.621945,9.265913,0.265440493347891,-0.446013117302257,-0.684490506649932
"T168",0.624,0.606,5.759,-0.38,-0.46,0.05,-0.06,-0.07,1.59,1.08,0.85,2.006,5.49,4.416,4.482,4.17,2.906,2.791,2.824,-0.398,-1.049,1.872,3.777,2.688,3.251,5.41767,3.55245,2.11687,4.81218,5.18787,4.83797,3.41507,3.58403,4.32568,2.65797,-1.33154,-1.47086,-1.5966,-1.16913,-1.70383,-1.33245,-1.20572,2.54779,1.2204,-3.02942,1.63894,1.8855,1.05505,1.56482,-2.38511,-1.34818,2.697053,3.3148,3.23034,0.2078,2.844088,4.951257,0.96236,0.914667,3.642136,8.7319,-0.380409865793138,0.641309431177896,0.648280397677311
"T169",-0.601,-0.515,2.991,-0.98,0.4,0.04,-0.02,0.06,-1.61,-1.4,-1.25,-0.051,3.166,2.079,1.459,1.096,0.566,-1.01,4.329,-3.044,-4.752,0.122,1.414,0.266,0.456,4.47668,2.08154,1.04677,3.64293,3.94201,3.81787,2.48193,2.774,3.7977,1.52829,-0.03484,-0.22716,0.04626,-0.04363,-0.69506,-0.0251,-0.30954,0.92726,-0.08196,-0.85009,0.90916,1.32636,1.03699,1.02798,-1.04923,-0.69708,0.308867,1.1267,1.30472,-0.8158,1.366138,2.640143,-0.07144,0.79454,4.217609,7.469112,0.43750362113594,-0.471453853250254,-0.439549088360335
"T170",0.542,0.276,6.108,-0.1,-2.03,-0.13,-0.15,-0.03,1.46,1.15,1.61,2.407,6.796,5.212,4.777,3.279,3.582,3.449,4.59,-0.137,-0.422,3.287,4.74,3.188,3.948,5.0959,2.71471,1.3886,4.20613,4.59215,4.16001,3.63558,3.77995,4.05659,2.31549,-1.47435,-1.62247,-1.26636,-1.51248,-1.75048,-1.20396,-1.61754,2.31832,1.42824,-1.8153,1.48467,2.02796,1.05911,1.53623,-2.01842,-1.07624,3.038067,3.8569,3.25618,0.980875,3.481063,5.415357,0.81672,0.7533,2.735288,7.028388,-0.292500702821181,0.325225963966621,-0.00666495452283399
"T171",0.575,-0.21,4.713,0.76,-2.96,-0.15,-0.25,-0.04,0.44,0.25,0.76,1.907,5.134,4.324,4.023,2.589,2.786,2.732,2.415,-1.031,-2.011,1.481,3.519,2.173,2.684,5.38666,3.00208,1.67853,4.73951,4.95163,4.40007,3.99316,4.07908,4.29688,2.4875,-1.52646,-1.30571,-1.67067,-1.11642,-1.74262,-1.01123,-1.29331,2.29871,0.78633,-1.64037,1.35286,1.8272,0.897,1.53227,-2.23309,-1.13521,2.593946,3.52797,2.672252,0.250582,2.807644,5.259214,1.524722,0.858121,2.698805,7.126574,0.00226362755319304,0.494309719447863,0.0452092807254615
"T172",0.597,-0.256,4.587,0.04,-0.28,-0.04,0.04,-0.04,0.54,0.8,-0.62,2.855,5.933,2.816,3.081,2.264,2.424,2.353,1.611,1,-2.451,1.01,4.312,2.483,4.198,5.20773,2.86463,1.67658,4.44888,4.83811,4.63361,3.29855,3.37099,4.16467,2.42816,-1.14192,-1.26291,-0.93713,-1.25702,-1.54368,-1.11018,-1.26025,2.30753,1.2062,-1.72286,1.37885,1.6975,1.03883,1.46496,-2.18514,-1.09835,3.041033,1.5689,2.30444,0.13075,4.16465,4.965286,0.98282,2.226273,3.635503,9.078725,-0.337154360647644,0.51204823338606,-0.179754938340132
"T174",-0.562,0.531,1.31,-1.91,0.8,0.08,0.01,0.05,-2.27,-0.73,-1.8,-4.818,3.371,1.311,-0.274,-2.387,-0.206,-0.516,0.339,-1.49,-6.035,-2.443,-0.142,-3.195,0.254,4.65837,2.2007,0.85063,3.82132,4.15358,3.96418,2.58063,2.79906,3.2257,1.46904,0.37798,0.46678,0.14195,0.44905,-1.15917,-0.39037,-0.39514,0.18088,-0.32786,0.18982,0.93442,0.96576,0.92819,0.99148,-1.34341,-0.74183,-1.386409,-0.06259,-0.577496,-3.532485,-2.007337,3.383094,-0.766346,0.993753,2.528774,8.251635,0.212277578735308,-0.5269822182145,0.425377697105208
"T175",-0.158,0.115,3.03,-0.89,1.27,0.01,0.2,0.01,0.26,-0.09,-0.86,-0.616,4.308,2.549,1.978,2.173,1.153,2.08,2.342,-0.894,-3.739,-0.899,2.172,0.551,3.748,5.123,2.5282,1.24118,4.27216,4.69724,4.42173,3.3619,3.49526,3.83166,2.10991,-0.3468,-0.87793,-0.2757,-0.51291,-1.6124,-0.60435,-1.20202,1.43652,0.65637,-1.21847,1.07474,1.29657,1.03838,1.371,-1.81168,-1.12981,0.991547,1.5884,0.95018,-3.6664,-0.018225,4.982871,0.39112,0.503627,3.476679,9.743562,0.150896916884795,-0.316976843019451,-0.161383756412893
"T176",-0.218999999999999,-0.58,2.476,-0.67,-0.59,-0.03,-0.09,0.05,-1.88,-1.43,-1.97,-0.297,3.256,1.092,1.513,1.943,0.446,1.053,0.963,-2.535,-3.627,-0.436,1.39,-0.638,0.124,5.80247,2.38419,1.69138,4.2857,4.92,4.355,3.32502,3.56049,4.48365,1.91233,0.36819,-0.13222,3e-04,-0.20333,-0.77759,-0.16607,-0.53932,1.01533,0.19897,-1.15681,0.99221,1.38356,1.06489,1.14916,-1.42504,-0.82523,1.029533,0.5988,1.65912,-0.9367,1.330763,3.400657,1.5751,1.19348,4.363973,7.54885,0.633550477419221,0.230389096366201,-0.175574690524652
"T178",-0.71,-0.467999999999999,0.631,-1.68,1.1,0.06,0.06,0.08,-2.27,-1.3,-2.36,-2.867,1.832,0.318,-0.276,-1.33,-0.179,0.006,5.042,-3.053,-6.368,-2.794,-0.105,-1.694,1.312,4.54468,1.69744,0.83483,3.57882,4.02699,3.7358,2.29908,2.53766,3.24294,1.30074,0.39211,0.25288,-0.17682,0.18693,-0.62959,-0.1053,-0.11325,0.19102,-0.30531,-0.28824,0.66196,0.99335,0.95765,0.82054,-1.06194,-0.47213,-0.561387,-1.1968,-0.19022,-2.432125,-1.255613,2.0404,-0.74402,1.197327,2.669039,8.4612,0.346490199136064,-0.558927410153387,-0.160417877943204
"T180",0.594,0.633,4.974,-1.28,-0.94,0.01,-0.12,-0.03,1.04,1.06,1.14,1.3,5.86,4.72,3.649,0.825,2.782,2.73,0.92,-1.171,-2.269,1.841,3.743,2.006,3.196,5.05147,3.38227,1.4871,5.00605,5.16548,4.71448,3.53616,3.42022,4.19009,1.93823,-0.59106,-1.22197,-1.10899,-0.95417,-1.70351,-1.1603,-1.29294,1.65979,1.14254,-1.61175,1.53168,1.79006,1.08627,1.42402,-1.79025,-1.08912,1.967567,3.2746,2.59562,-0.1484,2.14525,5.291314,0.48406,0.090427,2.782079,7.604588,-0.524843082117951,0.533876722362263,0.614464468286841
